IDCompLib,IDCompType,Model,HP,RatedCapacity,RatedPressure,MaxFullFlowPressure,IDControlType,UnloadPoint,MinULSumpPressure,BlowdownTime,UnloadSteps,ModulatingPressRange,PowerFLBHP,TotPackageInputPower,SpecPackagePower,NoLoadPowerFM,NoLoadPowerUL,MaxSurgePressure,MaxPressSurgeFlow,MinStonewallPressure,MinPressStonewallFlow,DesignSurgeFlow,DesignInTemp,DesignInPressure,AmpsFL,EffFL
34,1,10 hp/7.5 kW,10,39,100,110,4,100,15,40,2,-9999,10.5,9,22.89999962,-9999,50,-9999,-9999,-9999,-9999,-9999,68,14.5,14.30000019,87.5
36,1,10 hp/7.5 kW,10,35,125,135,1,50,15,40,2,5,10.5,9,25.5,65,42,-9999,-9999,-9999,-9999,-9999,68,14.5,14.30000019,87.5
37,1,10 hp/7.5 kW,10,37,125,125,2,50,15,40,2,20,11,9.399999619,25.5,65,42,-9999,-9999,-9999,-9999,-9999,68,14.5,14.30000019,87.5
38,1,10 hp/7.5 kW,10,37,125,125,3,40,15,40,2,16.66699982,11,9.399999619,25.5,57,42,-9999,-9999,-9999,-9999,-9999,68,14.5,14.30000019,87.5
39,1,10 hp/7.5 kW,10,35,125,135,4,100,15,40,2,-9999,10.5,9,25.5,-9999,42,-9999,-9999,-9999,-9999,-9999,68,14.5,14.30000019,87.5
41,1,10 hp/7.5 kW,10,26,150,160,1,50,15,40,2,5,10.5,9,34.70000076,65,26,-9999,-9999,-9999,-9999,-9999,68,14.5,14.30000019,87.5
42,1,10 hp/7.5 kW,10,27,150,150,2,50,15,40,2,20,11,9.399999619,34.70000076,65,26,-9999,-9999,-9999,-9999,-9999,68,14.5,14.30000019,87.5
43,1,10 hp/7.5 kW,10,27,150,150,3,40,15,40,2,16.66699982,11,9.399999619,34.70000076,57,26,-9999,-9999,-9999,-9999,-9999,68,14.5,14.30000019,87.5
44,1,10 hp/7.5 kW,10,26,150,160,4,100,15,40,2,-9999,10.5,9,34.70000076,-9999,26,-9999,-9999,-9999,-9999,-9999,68,14.5,14.30000019,87.5
46,1,10 hp/7.5 kW,10,29,175,185,1,50,15,40,2,5,10.5,9,30.79999924,65,28,-9999,-9999,-9999,-9999,-9999,68,14.5,14.30000019,87.5
47,1,10 hp/7.5 kW,10,30,175,175,2,50,15,40,2,20,11,9.399999619,30.79999924,65,28,-9999,-9999,-9999,-9999,-9999,68,14.5,14.30000019,87.5
48,1,10 hp/7.5 kW,10,30,175,175,3,40,15,40,2,16.66699982,11,9.399999619,30.79999924,57,28,-9999,-9999,-9999,-9999,-9999,68,14.5,14.30000019,87.5
49,1,10 hp/7.5 kW,10,29,175,185,4,100,15,40,2,-9999,10.5,9,30.79999924,-9999,28,-9999,-9999,-9999,-9999,-9999,68,14.5,14.30000019,87.5
51,1,15 hp/11 kW,15,62,100,110,1,50,15,40,2,5,15.80000019,13.39999962,21.79999924,65,29,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
52,1,15 hp/11 kW,15,65,100,100,2,50,15,40,2,20,16.5,14.10000038,21.79999924,65,29,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
53,1,15 hp/11 kW,15,65,100,100,3,40,15,40,2,16.66699982,16.5,14.10000038,21.79999924,57,29,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
54,1,15 hp/11 kW,15,62,100,110,4,100,15,40,2,-9999,15.80000019,13.39999962,21.79999924,-9999,29,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
56,1,15 hp/11 kW,15,54,125,135,1,50,15,40,2,5,15.80000019,13.39999962,25.10000038,65,26,-9999,-9999,-9999,-9999,-9999,68,14.5,20.60000038,87.5
