SUBRGN,CO2e
AKGD,1120.813
AKMS,551.276
AZNM,956.883
CAMX,455.251
ERCT,872.389
FRCC,864.535
HIMS,1195.598
HIOA,1707.576
MROE,1512.599
MROW,1106.448
NEWE,493.829
NWPP,719.873
NYCW,555.056
NYLI,1218.93
NYUP,233.044
PRMS,1543.34
RFCE,698.485
RFCM,1196.997
RFCW,1074.41
RMPA,1250.553
SPNO,1077.597
SPSO,1006.722
SRMV,809.596
SRMW,1595.941
SRSO,973.981
SRTV,955.587
SRVC,679.142
