ZIP (character),ZIP (numeric),state,eGRID Subregion #1,eGRID Subregion #2,eGRID Subregion #3,,,,,
00698,698,PR,PRMS,,,,,,,
00703,703,PR,PRMS,,,,,,,
00704,704,PR,PRMS,,,,,,,
00705,705,PR,PRMS,,,,,,,
00707,707,PR,PRMS,,,,,,,
00714,714,PR,PRMS,,,,,,,
00715,715,PR,PRMS,,,,,,,
00716,716,PR,PRMS,,,,,,,
00717,717,PR,PRMS,,,,,,,
00718,718,PR,PRMS,,,,,,,
00719,719,PR,PRMS,,,,,,,
00720,720,PR,PRMS,,,,,,,
00721,721,PR,PRMS,,,,,,,
00723,723,PR,PRMS,,,,,,,
00725,725,PR,PRMS,,,,,,,
00726,726,PR,PRMS,,,,,,,
00727,727,PR,PRMS,,,,,,,
00728,728,PR,PRMS,,,,,,,
00729,729,PR,PRMS,,,,,,,
00730,730,PR,PRMS,,,,,,,
00731,731,PR,PRMS,,,,,,,
00732,732,PR,PRMS,,,,,,,
00733,733,PR,PRMS,,,,,,,
00734,734,PR,PRMS,,,,,,,
00735,735,PR,PRMS,,,,,,,
00736,736,PR,PRMS,,,,,,,
00737,737,PR,PRMS,,,,,,,
00738,738,PR,PRMS,,,,,,,
00739,739,PR,PRMS,,,,,,,
00740,740,PR,PRMS,,,,,,,
00741,741,PR,PRMS,,,,,,,
00742,742,PR,PRMS,,,,,,,
00744,744,PR,PRMS,,,,,,,
00745,745,PR,PRMS,,,,,,,
00751,751,PR,PRMS,,,,,,,
00754,754,PR,PRMS,,,,,,,
00757,757,PR,PRMS,,,,,,,
00765,765,PR,PRMS,,,,,,,
00766,766,PR,PRMS,,,,,,,
00767,767,PR,PRMS,,,,,,,
00769,769,PR,PRMS,,,,,,,
00771,771,PR,PRMS,,,,,,,
00772,772,PR,PRMS,,,,,,,
00773,773,PR,PRMS,,,,,,,
00775,775,PR,PRMS,,,,,,,
00777,777,PR,PRMS,,,,,,,
00778,778,PR,PRMS,,,,,,,
00780,780,PR,PRMS,,,,,,,
00782,782,PR,PRMS,,,,,,,
00783,783,PR,PRMS,,,,,,,
00784,784,PR,PRMS,,,,,,,
00785,785,PR,PRMS,,,,,,,
00786,786,PR,PRMS,,,,,,,
00791,791,PR,PRMS,,,,,,,
00792,792,PR,PRMS,,,,,,,
00794,794,PR,PRMS,,,,,,,
00795,795,PR,PRMS,,,,,,,
00901,901,PR,PRMS,,,,,,,
00902,902,PR,PRMS,,,,,,,
